Mês;Empresa;Linha;Estudante_Cartao;Estudante_BT;Vale_Transporte;Integracao_Plena;Integracao_Complementar;Gratuito_Cartao;Gratuito_BT;Inteira_Cartao;Inteira_Especie;Tarifa_Social;Qtd_Viagens
2;GUANABARA - URB;1301;3468;890;5115;1138;54;2183;976;1278;5893;0;822
2;GUANABARA - URB;1302;751;193;949;240;6;455;180;204;1090;0;183
2;GUANABARA - URB;1516;11889;3555;20070;3682;149;8022;4686;4505;24113;0;1833
2;GUANABARA - URB;1778;11679;3371;20957;4303;150;8651;5019;4591;23683;0;1956
2;GUANABARA - URB;2369;874;230;2129;700;0;935;462;438;1450;0;331
2;GUANABARA - URB;6162;6341;1609;9124;1502;19;3937;2594;2025;10278;0;1404
2;GUANABARA - URB;6443;8203;2241;14603;2872;7;4986;2445;3437;14944;0;1006
2;GUANABARA - URB;7501;1377;323;2448;356;0;745;282;782;2166;0;211
2;GUANABARA - URB;7502;1869;465;2583;445;0;881;404;771;2775;0;268
2;GUANABARA - URB;7601;270;94;596;121;0;324;126;113;826;0;74
2;REUNIDAS;7;18545;5263;43577;10468;192;8564;3731;8911;38634;0;3198
2;REUNIDAS;26;25754;7619;45638;12633;227;7190;4541;8305;38659;0;2891
2;REUNIDAS;27;11722;3509;22250;3512;113;9483;4753;5088;29487;0;2679
2;REUNIDAS;29;0;0;0;0;0;0;0;0;0;0;1
2;REUNIDAS;35;19633;4823;31430;9067;963;11448;6713;8598;28638;0;2395
2;REUNIDAS;68;11649;3123;23667;5226;145;7836;3124;6189;24625;0;2142
2;REUNIDAS;73;48043;17162;102536;29503;573;15240;9244;15307;82515;0;4649
2;REUNIDAS;85;15152;2850;17500;5163;630;7828;4204;4864;16799;0;1835
2;REUNIDAS;1029;24126;6448;38109;9944;140;9479;4430;6993;34382;0;2418
2;REUNIDAS;1778;2686;809;5289;1026;22;1793;985;1098;5520;0;528
2;REUNIDAS;6443;8712;2425;16710;3311;13;5253;2469;4219;16883;0;1037
2;REUNIDAS;7847;19359;5983;29761;5649;57;9668;5201;8080;33094;0;2277
2;REUNIDAS;9018;31;14;281;330;0;465;46;32;230;0;85
2;SANTA MARIA - URB;24;17817;5768;31583;11527;0;10896;6266;9606;29599;0;3275
2;SANTA MARIA - URB;34;6843;1811;9060;2525;0;7899;4667;2376;13112;0;1396
2;SANTA MARIA - URB;36;9021;3022;14085;4965;0;7000;3851;3248;16985;0;1708
2;SANTA MARIA - URB;37;28964;9023;30168;11516;1;11161;6893;8735;35475;0;3169
2;SANTA MARIA - URB;38;31903;10084;45188;12696;9;30332;15707;11150;70138;0;3990
2;SANTA MARIA - URB;39;20861;4898;31013;10975;0;8549;3915;7191;23665;0;2853
2;SANTA MARIA - URB;44;15954;5045;21792;6362;0;11668;6888;6046;26897;0;2796
2;SANTA MARIA - URB;46;24624;8454;26526;12333;0;6376;5592;7373;36421;0;2543
2;SANTA MARIA - URB;48;12970;3920;12166;5167;0;6135;3998;2579;16295;0;1948
2;SANTA MARIA - URB;54;27296;9345;34774;12898;0;9539;7262;8101;42729;0;3125
2;SANTA MARIA - URB;56;5806;2478;24728;10607;0;3172;2302;3884;20150;0;1974
2;SANTA MARIA - URB;66;11043;3792;14931;2091;0;3176;1825;2875;18056;0;1939
2;SANTA MARIA - URB;83;7221;2793;16979;1625;0;4028;1532;3607;18095;0;1379
2;SANTA MARIA - URB;331;9962;2466;15221;3417;18;4095;1765;4216;13365;0;1195
2;SANTA MARIA - URB;332;2742;647;4293;870;0;895;440;1261;3045;0;546
2;SANTA MARIA - URB;411;4518;1326;6796;2805;0;2904;1004;2006;7274;0;672
2;SANTA MARIA - URB;561;94;48;1974;312;0;76;3;243;950;0;307
2;VIA SUL - URB;50;35758;10404;65923;19071;194;16328;8188;13639;56137;0;4607
2;VIA SUL - URB;51;23061;6994;23201;8395;0;9573;6800;6813;29242;0;2948
2;VIA SUL - URB;52;16654;5538;20605;6718;0;9743;7486;5224;27127;0;2770
2;VIA SUL - URB;65;11093;3410;13722;3681;0;4613;2430;3475;13169;0;1750
